        t / s      omega / (rad/s)
        0.210              0.14946
        0.539              0.26397
        0.750              0.34214
        0.919              0.40847
        1.064              0.45962
        1.196              0.49594
        1.317              0.54157
        1.428              0.59810
        1.530              0.62819
        1.628              0.66196
        1.721              0.68090
        1.810              0.73957
        1.892              0.78858
        1.974              0.75057
        2.054              0.82922
        2.128              0.86600
        2.200              0.86835
        2.270              0.93254
        2.338              0.92590
        2.406              0.92859
        2.472              0.97129
        2.536              0.97636
        2.599              1.03957
        2.660              1.01987
        2.721              1.04187
        2.781              1.05077
        2.839              1.09528
        2.896              1.10815
        2.952              1.14642
        3.007              1.13268
        3.062              1.16498
        3.115              1.18734
        3.168              1.20972
        3.220              1.18685
        3.272              1.25689
        3.323              1.18437
        3.374              1.29340
        3.424              1.24751
        3.473              1.27751
        3.522              1.29928
        3.569              1.38430
        3.616              1.28351
        3.664              1.33090
        3.711              1.34567
        3.758              1.35300
        3.804              1.35671
        3.850              1.39095
        3.895              1.40860
        3.939              1.45058
        3.982              1.44474
        4.026              1.44731
        4.069              1.41628
        4.113              1.45596
        4.156              1.47223
        4.199              1.48430
        4.241              1.50550
        4.282              1.52043
        4.323              1.54170
        4.364              1.56123
        4.404              1.55371
        4.445              1.53514
        4.485              1.55914
        4.525              1.61025
        4.564              1.59947
        4.603              1.60179
        4.642              1.63800
        4.680              1.65827
        4.718              1.64524
        4.757              1.65312
        4.794              1.67766
        4.832              1.68324
        4.869              1.65622
        4.906              1.75058
        4.942              1.73588
        4.979              1.64878
        5.015              1.86146
        5.050              1.78004
        5.086              1.74223
        5.121              1.77767
        5.156              1.84431
        5.190              1.80848
        5.226              1.72819
        5.261              1.90758
        5.294              1.82784
        5.328              1.86428
        5.362              1.90775
        5.395              1.88497
        5.428              1.83381
        5.462              1.94003
        5.495              1.86816
        5.528              1.92564
        5.559              2.10555
        5.591              1.90521
        5.624              1.82603
        5.658              1.94809
        5.689              1.99593
        5.721              1.96651
        5.753              2.01043
        5.784              2.01449
        5.815              2.04991
        5.846              2.04684
        5.877              2.00523
        5.908              2.03880
        5.938              2.07667
        5.969              2.07325
        5.999              2.03894
        6.030              2.05219
        6.060              2.12471
        6.090              2.10527
        6.119              2.09992
        6.150              2.08177
        6.179              2.16326
        6.208              2.23952
        6.237              2.05413
        6.267              2.20316
        6.295              2.24383
        6.323              2.19676
        6.351              2.30297
        6.379              2.23434
        6.407              2.19026
        6.435              2.24922
        6.464              2.21488
        6.491              2.32220
        6.519              2.23976
        6.547              2.25916
        6.575              2.24359
        6.602              2.30720
        6.630              2.30390
        6.657              2.35220
        6.684              2.29917
        6.711              2.33454
        6.738              2.35784
        6.764              2.37576
        6.791              2.30999
        6.817              2.42585
        6.844              2.27026
        6.871              2.45744
        6.897              2.35484
        6.923              2.39305
        6.950              2.41642
        6.975              2.55559
        7.001              2.35079
        7.027              2.42052
        7.053              2.42875
        7.079              2.42631
        7.105              2.41661
        7.130              2.46081
        7.156              2.47535
        7.181              2.53518
        7.206              2.50816
        7.231              2.49918
        7.256              2.43082
        7.282              2.48426
        7.307              2.49968
        7.332              2.50526
        7.357              2.52885
        7.382              2.53743
        7.407              2.56300
        7.431              2.57909
        7.456              2.55497
        7.480              2.51579
        7.505              2.53999
        7.530              2.61136
        7.554              2.58036
        7.578              2.57349
        7.602              2.61930
        7.626              2.63745
        7.650              2.60346
        7.675              2.60540
        7.698              2.63247
        7.722              2.63302
        7.746              2.57613
        7.770              2.71084
        7.794              2.67837
        7.818              2.53303
        7.841              2.84668
        7.864              2.71353
        7.887              2.64410
        7.911              2.68650
        7.934              2.77673
        7.957              2.71388
        7.980              2.58525
        8.004              2.83845
        8.026              2.71635
        8.049              2.75711
        8.072              2.81353
        8.094              2.76914
        8.117              2.68684
        8.140              2.82937
        8.163              2.71647
        8.186              2.79265
        8.207              3.03903
        8.229              2.74231
        8.252              2.61952
        8.276              2.78436
        8.298              2.84668
        8.320              2.79377
        8.343              2.84900
        8.365              2.84577
        8.387              2.88617
        8.408              2.87547
        8.431              2.80913
        8.453              2.84848
        8.475              2.89294
        8.496              2.87982
        8.518              2.82238
        8.541              2.84939
        8.562              2.92813
        8.584              2.90834
        8.606              2.90069
        8.627              2.83665
        8.649              2.98673
        8.670              3.03360
        8.691              2.81416
        8.713              2.99014
        8.734              3.02906
        8.755              2.98659
        8.775              3.09868
        8.796              3.01757
        8.817              2.94432
        8.838              3.01612
        8.859              2.97021
        8.880              3.10082
        8.901              2.99214
        8.921              3.00804
        8.942              2.98574
        8.963              3.06228
        8.984              3.05409
        9.004              3.11326
        9.025              3.03374
        9.045              3.08271
        9.065              3.10311
        9.086              3.12456
        9.106              3.03228
        9.126              3.17943
        9.147              2.97162
        9.167              3.21292
        9.187              3.07216
        9.207              3.11852
        9.227              3.14379
        9.247              3.32215
        9.267              3.05157
        9.287              3.13689
        9.307              3.14489
        9.327              3.13720
        9.347              3.11960
        9.367              3.17220
        9.387              3.19041
        9.406              3.25824
        9.426              3.21983
        9.445              3.20505
        9.465              3.11883
        9.485              3.17750
        9.505              3.19820
        9.524              3.20391
        9.544              3.22314
        9.563              3.23942
        9.583              3.26027
        9.602              3.28498
        9.621              3.24880
        9.641              3.18798
        9.660              3.22297
        9.680              3.30381
        9.699              3.26433
        9.718              3.25082
        9.737              3.30485
        9.756              3.32514
        9.775              3.27437
        9.794              3.27744
        9.813              3.30555
        9.832              3.29930
        9.852              3.22827
        9.871              3.39522
        9.889              3.35085
        9.909              3.16597
        9.927              3.55364
        9.946              3.38570
        9.964              3.29532
        9.983              3.34230
       10.002              3.45477
       10.020              3.37099
       10.039              3.20833
       10.058              3.52216
       10.076              3.35963
       10.095              3.41533
       10.113              3.47733
       10.131              3.41961
       10.150              3.31829
       10.168              3.48736
       10.187              3.34568
       10.205              3.44152
       10.223              3.73332
       10.241              3.37153
       10.260              3.21983
       10.279              3.40848
       10.297              3.47560
       10.315              3.40368
       10.333              3.45591
       10.352              3.45059
       10.370              3.48853
