        t / s      omega / (rad/s)
        0.101              0.30961
        0.278              0.41958
        0.413              0.51719
        0.525              0.61247
        0.624              0.66640
        0.716              0.69450
        0.800              0.82300
        0.875              0.83695
        0.948              0.89917
        1.015              0.96237
        1.080              0.99002
        1.143              1.00033
        1.203              1.09148
        1.261              1.08452
        1.317              1.15148
        1.369              1.28865
        1.419              1.19475
        1.473              1.17324
        1.524              1.27858
        1.572              1.33756
        1.619              1.34236
        1.665              1.39648
        1.709              1.42340
        1.753              1.47199
        1.795              1.49096
        1.837              1.48409
        1.879              1.52987
        1.920              1.57758
        1.959              1.59674
        1.999              1.59157
        2.038              1.62583
        2.075              1.69903
        2.112              1.70133
        2.149              1.72482
        2.186              1.71681
        2.221              1.80505
        2.255              1.87833
        2.290              1.74480
        2.325              1.88622
        2.358              1.93561
        2.390              1.90862
        2.422              2.02188
        2.454              1.96922
        2.486              1.95112
        2.518              2.01107
        2.549              1.99790
        2.580              2.10824
        2.610              2.04451
        2.640              2.07585
        2.671              2.07530
        2.700              2.14546
        2.730              2.15532
        2.758              2.21348
        2.787              2.17268
        2.816              2.22193
        2.844              2.25107
        2.871              2.28396
        2.899              2.22761
        2.927              2.35405
        2.954              2.21044
        2.982              2.40707
        3.008              2.31459
        3.035              2.36228
        3.062              2.39853
        3.087              2.54442
        3.113              2.34991
        3.139              2.43035
        3.165              2.44806
        3.190              2.45389
        3.216              2.45332
        3.241              2.50696
        3.266              2.53048
        3.291              2.59679
        3.315              2.57655
        3.339              2.58047
        3.364              2.51388
        3.389              2.58185
        3.413              2.59980
        3.437              2.61909
        3.461              2.64611
        3.485              2.66836
        3.508              2.69653
        3.531              2.72483
        3.554              2.70524
        3.578              2.66643
        3.601              2.70477
        3.624              2.78263
        3.647              2.76135
        3.669              2.75639
        3.692              2.81568
        3.714              2.83960
        3.737              2.80963
        3.759              2.81934
        3.781              2.85470
        3.803              2.86159
        3.825              2.80775
        3.847              2.95972
        3.868              2.92922
        3.890              2.77943
        3.912              3.12830
        3.932              2.98815
        3.953              2.91848
        3.975              2.97035
        3.996              3.07743
        4.016              3.01294
        4.038              2.87520
        4.058              3.16278
        4.079              3.03096
        4.099              3.08513
        4.119              3.15263
        4.140              3.11003
        4.160              3.02236
        4.180              3.18911
        4.200              3.06781
        4.221              3.15833
        4.240              3.44360
        4.259              3.11450
        4.279              2.97951
        4.300              3.17140
        4.319              3.24931
        4.339              3.19609
        4.358              3.26027
        4.378              3.26348
        4.397              3.30973
        4.416              3.31374
        4.435              3.23876
        4.454              3.28309
        4.473              3.35121
        4.492              3.33644
        4.511              3.27915
        4.530              3.30346
        4.549              3.40441
        4.567              3.38388
        4.586              3.37878
        4.605              3.30764
        4.623              3.48388
        4.641              3.56230
        4.659              3.27830
        4.678              3.51999
        4.696              3.56533
        4.713              3.49318
        4.731              3.66944
        4.748              3.54502
        4.766              3.47983
        4.784              3.56594
        4.802              3.51075
        4.819              3.67438
        4.837              3.54842
        4.855              3.57446
        4.872              3.54802
        4.890              3.64475
        4.907              3.63758
        4.924              3.71347
        4.941              3.62331
        4.958              3.68429
        4.975              3.71237
        4.992              3.74244
        5.009              3.63337
        5.026              3.81516
        5.043              3.56715
        5.060              3.86277
        5.077              3.69838
        5.094              3.75991
        5.110              3.79419
        5.126              4.01071
        5.143              3.68775
        5.159              3.79717
        5.176              3.80568
        5.192              3.80154
        5.209              3.78437
        5.225              3.85637
        5.242              3.87731
        5.258              3.96591
        5.274              3.92969
        5.290              3.91183
        5.306              3.79993
        5.322              3.88402
        5.338              3.90648
        5.355              3.91695
        5.371              3.94623
        5.386              3.96566
        5.402              3.99821
        5.418              4.02588
        5.434              3.98983
        5.449              3.91573
        5.465              3.95741
        5.481              4.06916
        5.497              4.01738
        5.512              4.00203
        5.528              4.07761
        5.543              4.10023
        5.559              4.04401
        5.574              4.04219
        5.590              4.09062
        5.605              4.09115
        5.621              3.99135
        5.636              4.20730
        5.651              4.16270
        5.666              3.92503
        5.682              4.40802
        5.696              4.21069
        5.711              4.09862
        5.726              4.15445
        5.741              4.30296
        5.756              4.20224
        5.771              3.99592
        5.786              4.39077
        5.801              4.19662
        5.816              4.26036
        5.831              4.34282
        5.845              4.27777
        5.860              4.14650
        5.875              4.36636
        5.890              4.18879
        5.904              4.30414
        5.918              4.67882
        5.933              4.22854
        5.948              4.04245
        5.963              4.28243
        5.977              4.37975
