        t / s      omega / (rad/s)
        9.327              1.63153
        9.365              1.64615
        9.403              1.65408
        9.441              1.66946
        9.479              1.68274
        9.516              1.66689
        9.554              1.63894
        9.592              1.65687
        9.630              1.70276
        9.667              1.68477
        9.704              1.67713
        9.741              1.71176
        9.778              1.72416
        9.815              1.70244
        9.852              1.70415
        9.888              1.72265
        9.925              1.72473
        9.962              1.68817
        9.998              1.77883
       10.033              1.75611
       10.070              1.66327
       10.106              1.87167
       10.140              1.78489
       10.176              1.74045
       10.212              1.77086
       10.246              1.83151
       10.281              1.79120
       10.317              1.70757
       10.352              1.87591
       10.387              1.79674
       10.421              1.82587
       10.455              1.86295
       10.489              1.83687
       10.524              1.78246
       10.558              1.87776
       10.592              1.80608
       10.627              1.85783
       10.659              2.02285
       10.692              1.82879
       10.727              1.74790
       10.762              1.85910
       10.795              1.90198
       10.829              1.86877
       10.862              1.90654
       10.895              1.90527
       10.928              1.93495
       10.960              1.92759
       10.993              1.88656
       11.026              1.91333
       11.059              1.94568
       11.091              1.94153
       11.124              1.90376
       11.157              1.91356
       11.189              1.97709
       11.221              1.95799
       11.253              1.96086
       11.285              1.92500
       11.317              2.00229
       11.348              2.05474
       11.380              1.88086
       11.412              2.03861
       11.443              2.05313
       11.474              2.01701
       11.504              2.11334
       11.535              2.03947
       11.566              2.00427
       11.597              2.04557
       11.628              2.01681
       11.658              2.10767
       11.689              2.02991
       11.719              2.04624
       11.750              2.02527
       11.781              2.08115
       11.811              2.07373
       11.841              2.11491
       11.871              2.06134
       11.902              2.09209
       11.931              2.10640
       11.961              2.12098
       11.991              2.05878
       12.021              2.15880
       12.051              2.01662
       12.081              2.18166
       12.111              2.08647
       12.141              2.11776
       12.170              2.13576
       12.199              2.25632
       12.228              2.07154
       12.258              2.13083
       12.287              2.13496
       12.317              2.13018
       12.346              2.11883
       12.376              2.15406
       12.405              2.16564
       12.433              2.21340
       12.462              2.18850
       12.491              2.17713
       12.520              2.11648
       12.549              2.15806
       12.578              2.16878
       12.607              2.17268
       12.636              2.18881
       12.665              2.19653
       12.693              2.21293
       12.722              2.22808
       12.750              2.20215
       12.779              2.16677
       12.808              2.18682
       12.836              2.24488
       12.864              2.21856
       12.893              2.20656
       12.921              2.24873
       12.949              2.25916
       12.977              2.22800
       13.005              2.22800
       13.033              2.24825
       13.061              2.24873
       13.089              2.19707
       13.117              2.31212
       13.144              2.28264
       13.173              2.15695
       13.200              2.42341
       13.227              2.30779
       13.254              2.24753
       13.282              2.28214
       13.309              2.35714
       13.336              2.30229
       13.364              2.19140
       13.392              2.40505
       13.418              2.29775
       13.445              2.33454
       13.472              2.37756
       13.499              2.34150
       13.526              2.26904
       13.553              2.38759
       13.580              2.29021
       13.607              2.35369
       13.633              2.55872
       13.659              2.31033
       13.686              2.20517
       13.714              2.34133
       13.741              2.39451
       13.767              2.34701
       13.794              2.39195
       13.820              2.38877
       13.846              2.42369
       13.872              2.40975
       13.898              2.35723
       13.925              2.38687
       13.951              2.42519
       13.977              2.41438
       14.003              2.36201
       14.030              2.38406
       14.056              2.44930
       14.081              2.43365
       14.107              2.42229
       14.133              2.38288
       14.159              2.47730
       14.184              2.55238
       14.210              2.33636
       14.236              2.50057
       14.261              2.53467
       14.286              2.48161
       14.311              2.59090
       14.336              2.51016
       14.361              2.45399
       14.386              2.51267
       14.411              2.46932
       14.436              2.58164
       14.461              2.48573
       14.486              2.49978
