        t / s      omega / (rad/s)
        0.264              0.11895
        0.685              0.20024
        0.968              0.24853
        1.201              0.29501
        1.405              0.32444
        1.588              0.36316
        1.754              0.39445
        1.908              0.42369
        2.054              0.43524
        2.192              0.47916
        2.325              0.46802
        2.451              0.52800
        2.571              0.52393
        2.688              0.55047
        2.800              0.57298
        2.905              0.62295
        3.009              0.58813
        3.113              0.62056
        3.213              0.63723
        3.310              0.64875
        3.407              0.65802
        3.500              0.68202
        3.592              0.69747
        3.680              0.72541
        3.766              0.72772
        3.852              0.73583
        3.938              0.72656
        4.023              0.75333
        4.106              0.76846
        4.187              0.78115
        4.266              0.79823
        4.344              0.81156
        4.421              0.82888
        4.496              0.84492
        4.570              0.84684
        4.645              0.84143
        4.719              0.86000
        4.790              0.89318
        4.861              0.89190
        4.931              0.89739
        5.000              0.92320
        5.068              0.93744
        5.135              0.93315
        5.202              0.94257
        5.268              0.96132
        5.333              0.96960
        5.398              0.95712
        5.462              1.01533
        5.524              1.01250
        5.587              0.96563
        5.649              1.09408
        5.707              1.05107
        5.768              1.03093
        5.828              1.05602
        5.886              1.09794
        5.944              1.07999
        6.003              1.03478
        6.061              1.14306
        6.117              1.09806
        6.174              1.12164
        6.229              1.15016
        6.284              1.13743
        6.340              1.10953
        6.395              1.17491
        6.450              1.13413
        6.504              1.17189
        6.555              1.28336
        6.607              1.16474
        6.662              1.11956
        6.716              1.19757
        6.768              1.23053
        6.819              1.21572
        6.870              1.24627
        6.921              1.25230
        6.970              1.27782
        7.020              1.27847
        7.069              1.25636
        7.119              1.28040
        7.167              1.30706
        7.215              1.31094
        7.264              1.28978
        7.312              1.30335
        7.359              1.34995
        7.406              1.34161
        7.453              1.34844
        7.500              1.32758
        7.546              1.38424
        7.591              1.43060
        7.637              1.31941
        7.683              1.41399
        7.727              1.44140
        7.771              1.41002
        7.814              1.48139
        7.857              1.43390
        7.901              1.41357
        7.945              1.45031
        7.989              1.43089
        8.032              1.49910
        8.074              1.44981
        8.118              1.45839
        8.161              1.45148
        8.203              1.49344
        8.246              1.49127
        8.287              1.52401
        8.329              1.48827
        8.371              1.51544
        8.412              1.53032
        8.453              1.54408
        8.494              1.50028
        8.535              1.57525
        8.576              1.47361
        8.617              1.59650
        8.658              1.52902
        8.698              1.55386
        8.739              1.56927
        8.778              1.66011
        8.817              1.52638
        8.858              1.57402
        8.897              1.58008
        8.937              1.57714
        8.977              1.57166
        9.017              1.60102
        9.056              1.61165
        9.094              1.64909
        9.133              1.63246
        9.171              1.62600
        9.210              1.58235
        9.250              1.61692
        9.289              1.62646
