        t / s      omega / (rad/s)
        0.163              0.19282
        0.424              0.31984
        0.601              0.40085
        0.745              0.47482
        0.868              0.55261
        0.977              0.60095
        1.078              0.65031
        1.172              0.68442
        1.260              0.75568
        1.340              0.81698
        1.418              0.78592
        1.494              0.87853
        1.564              0.92537
        1.631              0.93589
        1.696              1.01280
        1.758              1.00867
        1.820              1.01762
        1.880              1.07052
        1.938              1.08066
        1.995              1.15678
        2.049              1.13989
        2.104              1.17060
        2.157              1.18486
        2.209              1.23836
        2.259              1.25598
        2.309              1.30143
        2.357              1.28870
        2.405              1.32699
        2.452              1.35484
        2.498              1.38302
        2.544              1.35900
        2.589              1.44361
        2.633              1.36543
        2.677              1.49607
        2.720              1.44701
        2.763              1.48511
        2.805              1.51417
        2.845              1.61513
        2.885              1.49817
        2.927              1.55528
        2.967              1.57667
        3.007              1.58682
        3.046              1.59237
        3.085              1.63488
        3.123              1.65862
        3.160              1.70841
        3.197              1.70230
        3.234              1.70790
        3.271              1.67360
        3.308              1.72180
        3.345              1.74204
        3.381              1.75896
        3.416              1.78464
        3.451              1.80328
        3.486              1.83018
        3.520              1.85481
        3.554              1.84599
        3.588              1.82550
        3.622              1.85586
        3.655              1.91672
        3.688              1.90509
        3.721              1.90926
        3.754              1.95257
        3.786              1.97572
        3.818              1.96166
        3.850              1.97318
        3.881              2.00159
        3.912              2.01294
        3.944              1.97796
        3.975              2.09098
        4.005              2.07695
        4.036              1.97021
        4.066              2.22524
        4.095              2.12989
        4.125              2.08342
        4.155              2.12701
        4.184              2.20571
        4.212              2.16467
        4.242              2.06942
        4.271              2.28181
        4.299              2.18903
        4.328              2.23235
        4.355              2.28446
        4.383              2.25827
        4.411              2.19746
        4.439              2.32083
        4.467              2.24015
        4.494              2.30643
        4.520              2.52215
        4.547              2.28114
        4.575              2.18911
        4.603              2.33177
        4.629              2.39214
        4.656              2.35572
        4.682              2.40763
        4.708              2.41318
        4.734              2.45552
        4.760              2.45207
        4.785              2.40403
        4.811              2.44425
        4.837              2.48878
        4.862              2.48957
        4.888              2.44520
        4.913              2.46235
        4.938              2.54844
        4.963              2.52855
        4.988              2.53283
        5.013              2.47828
        5.038              2.59304
        5.061              2.70035
        5.086              2.45303
        5.111              2.66022
        5.134              2.67803
        5.158              2.64544
        5.181              2.76488
        5.204              2.68191
        5.228              2.63148
        5.251              2.70024
        5.275              2.66034
        5.298              2.78757
        5.321              2.69110
        5.344              2.71271
        5.367              2.69711
        5.390              2.77073
        5.413              2.76890
        5.435              2.82848
        5.458              2.76257
        5.480              2.80788
        5.503              2.83486
        5.525              2.85859
        5.547              2.77870
        5.569              2.91888
        5.591              2.73194
        5.613              2.95986
        5.635              2.83243
        5.657              2.88325
        5.679              2.90942
        5.700              3.08165
        5.721              2.83103
        5.743              2.91834
        5.764              2.92868
        5.786              2.92513
        5.807              2.91617
        5.829              2.96629
        5.850              2.98886
        5.871              3.05751
        5.891              3.02731
        5.912              3.01612
        5.933              2.93360
        5.954              3.00128
        5.975              3.01467
        5.996              3.02687
        6.017              3.05231
        6.037              3.06587
        6.058              3.09639
        6.078              3.11666
        6.098              3.08726
        6.119              3.03448
        6.139              3.06931
        6.159              3.15690
        6.180              3.11635
        6.200              3.11203
        6.220              3.16485
        6.239              3.18782
        6.259              3.14742
        6.279              3.14836
        6.299              3.18426
        6.319              3.17991
        6.339              3.11650
        6.359              3.27915
        6.378              3.24109
        6.398              3.06512
        6.417              3.44530
        6.436              3.28275
        6.455              3.20064
        6.475              3.25166
        6.494              3.36017
        6.513              3.28550
        6.532              3.12783
        6.551              3.43794
        6.570              3.28498
        6.589              3.33839
        6.608              3.40478
        6.626              3.35425
        6.645              3.25368
        6.664              3.42744
        6.683              3.28911
        6.702              3.38351
        6.719              3.68083
        6.737              3.32426
        6.757              3.17365
        6.776              3.37207
        6.794              3.44435
        6.813              3.38552
        6.831              3.44965
        6.849              3.44643
        6.868              3.49143
        6.886              3.48022
        6.904              3.40368
        6.922              3.44756
        6.940              3.50448
        6.958              3.49376
        6.976              3.42110
        6.995              3.43588
        7.013              3.54462
        7.031              3.52374
        7.048              3.50820
        7.067              3.41255
        7.084              3.62917
        7.102              3.69143
        7.119              3.37697
        7.137              3.64306
        7.154              3.67868
        7.172              3.58629
        7.189              3.77800
        7.206              3.64243
        7.223              3.56675
        7.241              3.65535
        7.258              3.59121
        7.275              3.75586
        7.292              3.62122
        7.309              3.64137
        7.327              3.61435
        7.344              3.70689
        7.361              3.69643
        7.378              3.77006
        7.395              3.67416
        7.412              3.72978
        7.428              3.75744
        7.445              3.78368
        7.462              3.67223
        7.479              3.85141
        7.495              3.59841
        7.512              3.89196
        7.529              3.72337
        7.546              3.77800
        7.562              3.81238
        7.578              4.02639
        7.594              3.69882
        7.611              3.80430
        7.628              3.81308
        7.644              3.80361
        7.661              3.78482
        7.677              3.84905
        7.694              3.87039
        7.710              3.95368
        7.726              3.91183
        7.742              3.89028
        7.758              3.78141
        7.774              3.85519
