        t / s      omega / (rad/s)
        0.084              0.37345
        0.232              0.49210
        0.349              0.59428
        0.448              0.67146
        0.538              0.72675
        0.621              0.80090
        0.696              0.87275
        0.766              0.92490
        0.833              0.95620
        0.897              1.00925
        0.957              1.08832
        1.014              1.12034
        1.069              1.16149
        1.123              1.17340
        1.174              1.26572
        1.223              1.33716
        1.271              1.26130
        1.319              1.38592
        1.363              1.43905
        1.407              1.43806
        1.449              1.53894
        1.490              1.51830
        1.532              1.51548
        1.572              1.57897
        1.612              1.58143
        1.651              1.67995
        1.688              1.64572
        1.726              1.67995
        1.763              1.69176
        1.800              1.76005
        1.835              1.77878
        1.870              1.83676
        1.904              1.81359
        1.939              1.86389
        1.972              1.89893
        2.005              1.93317
        2.038              1.89664
        2.070              2.01030
        2.102              1.89796
        2.134              2.07291
        2.165              2.00261
        2.196              2.05038
        2.226              2.08688
        2.255              2.22335
        2.285              2.05871
        2.315              2.13445
        2.344              2.15680
        2.373              2.16736
        2.402              2.17268
        2.430              2.22422
        2.458              2.25373
        2.486              2.31801
        2.513              2.30720
        2.540              2.31025
        2.568              2.26193
        2.595              2.32212
        2.622              2.34780
        2.649              2.36833
        2.675              2.39807
        2.701              2.42239
        2.727              2.45629
        2.752              2.48396
        2.778              2.46990
        2.803              2.44520
        2.829              2.47857
        2.854              2.56080
        2.878              2.53999
        2.903              2.54627
        2.928              2.60012
        2.952              2.63071
        2.976              2.60421
        3.000              2.61996
        3.024              2.65494
        3.047              2.66779
        3.071              2.61788
        3.094              2.76646
        3.117              2.74195
        3.141              2.60573
        3.163              2.93429
        3.185              2.80913
        3.208              2.74639
        3.231              2.80112
        3.253              2.90123
        3.274              2.84784
        3.297              2.71941
        3.319              2.99527
        3.340              2.87520
        3.362              2.92950
        3.383              2.99413
        3.404              2.95930
        3.426              2.87810
        3.447              3.04182
        3.468              2.92595
        3.489              3.01801
        3.509              3.29359
        3.529              2.98135
        3.551              2.85496
        3.572              3.04359
        3.593              3.12223
        3.613              3.06781
        3.633              3.13814
        3.653              3.14128
        3.673              3.19739
        3.693              3.18960
        3.713              3.12348
        3.733              3.17798
        3.752              3.23109
        3.772              3.23242
        3.791              3.17525
        3.811              3.19251
        3.830              3.29739
        3.849              3.28567
        3.869              3.28550
        3.888              3.19268
        3.907              3.40663
        3.925              3.47291
        3.944              3.17076
        3.963              3.45211
        3.981              3.46200
        4.000              3.39393
        4.018              3.59429
        4.036              3.45230
        4.054              3.39466
        4.072              3.48717
        4.090              3.42166
        4.108              3.59306
        4.126              3.47061
        4.144              3.48543
        4.162              3.47195
        4.180              3.56594
        4.198              3.55384
        4.215              3.64011
        4.233              3.54742
        4.250              3.60750
        4.268              3.64074
        4.285              3.66837
        4.302              3.56270
        4.319              3.74802
        4.337              3.50097
        4.354              3.79099
        4.371              3.63589
        4.388              3.69100
        4.405              3.72823
        4.421              3.94796
        4.438              3.62750
        4.455              3.73466
        4.472              3.75228
        4.489              3.74780
        4.505              3.73199
        4.522              3.79993
        4.539              3.82538
        4.555              3.91817
        4.571              3.87612
        4.587              3.85898
        4.604              3.75609
        4.620              3.83659
        4.637              3.86040
        4.653              3.87731
        4.669              3.90867
        4.685              3.92135
        4.701              3.96290
        4.717              3.99262
        4.733              3.94871
        4.749              3.88667
        4.765              3.93363
        4.781              4.02949
        4.796              3.99034
        4.812              3.98098
        4.828              4.04584
        4.843              4.07443
        4.859              4.02588
        4.874              4.02639
        4.890              4.06521
        4.905              4.07179
        4.921              3.97922
        4.936              4.18879
        4.951              4.14158
        4.967              3.91427
        4.982              4.39783
        4.997              4.19550
        5.012              4.08822
        5.027              4.15170
        5.042              4.29062
        5.057              4.19718
        5.072              3.99186
        5.087              4.38647
        5.102              4.19775
        5.117              4.25805
        5.131              4.33982
        5.146              4.28360
        5.161              4.15115
        5.176              4.36878
        5.190              4.19438
        5.205              4.31537
        5.219              4.69104
        5.233              4.23452
        5.248              4.04610
        5.263              4.30090
        5.278              4.39568
        5.292              4.31389
        5.307              4.39261
        5.321              4.39261
        5.335              4.46344
        5.349              4.43665
        5.364              4.33204
        5.378              4.40122
        5.392              4.47648
        5.406              4.45237
        5.420              4.35848
        5.435              4.39691
        5.449              4.53267
        5.463              4.47520
        5.477              4.47552
        5.491              4.40462
        5.505              4.57891
        5.519              4.70298
        5.533              4.32190
        5.547              4.62679
        5.560              4.68964
        5.574              4.58158
