        t / s      omega / (rad/s)
        9.413              1.80427
        9.448              1.83451
        9.482              1.82927
        9.517              1.78804
        9.552              1.81569
        9.586              1.84800
        9.620              1.84279
        9.654              1.80837
        9.689              1.82053
        9.723              1.87917
        9.757              1.86235
        9.790              1.86589
        9.824              1.83135
        9.858              1.90880
        9.890              1.96442
        9.924              1.80640
        9.957              1.93424
        9.990              1.96007
       10.022              1.90920
       10.054              2.02194
       10.086              1.94906
       10.118              1.91403
       10.151              1.96086
       10.183              1.92943
       10.215              2.02025
       10.247              1.94755
       10.279              1.96104
       10.311              1.94664
       10.343              2.00006
       10.374              1.99542
       10.405              2.03636
       10.437              1.98797
       10.468              2.01831
       10.499              2.03458
       10.530              2.04878
       10.561              1.99213
       10.592              2.08799
       10.623              1.95276
       10.654              2.11455
       10.684              2.02181
       10.715              2.05534
       10.745              2.07222
       10.775              2.19232
       10.805              2.01365
       10.836              2.07140
       10.866              2.07819
       10.896              2.07229
       10.927              2.06141
       10.957              2.09803
       10.987              2.10831
       11.016              2.15672
       11.045              2.13127
       11.075              2.12141
       11.105              2.06114
       11.135              2.10436
       11.165              2.11477
       11.195              2.11690
       11.224              2.13590
       11.254              2.14158
       11.283              2.16014
       11.312              2.17479
       11.341              2.15067
       11.370              2.11420
       11.400              2.13481
       11.429              2.19163
       11.458              2.16535
       11.487              2.15502
       11.516              2.19308
       11.544              2.20439
       11.573              2.17622
       11.602              2.17607
       11.631              2.19577
       11.659              2.19623
       11.688              2.14524
       11.717              2.25803
       11.745              2.22958
       11.774              2.10577
       11.802              2.36673
       11.829              2.25438
       11.857              2.19784
       11.886              2.22745
       11.914              2.30314
       11.941              2.25131
       11.970              2.14158
       11.998              2.35237
       12.025              2.24729
       12.053              2.28131
       12.080              2.32693
       12.107              2.28962
       12.135              2.21974
       12.163              2.33680
       12.190              2.24199
       12.218              2.30652
       12.244              2.50556
       12.271              2.26217
       12.299              2.16043
       12.327              2.29372
       12.354              2.34412
       12.381              2.29968
       12.408              2.34447
       12.435              2.33749
       12.462              2.37550
       12.488              2.35846
       12.515              2.30753
       12.542              2.33602
       12.569              2.37379
       12.596              2.36512
       12.623              2.31758
       12.650              2.32771
       12.676              2.40027
       12.702              2.37810
       12.729              2.37433
       12.756              2.32944
       12.782              2.41903
       12.808              2.47662
       12.834              2.30170
       12.861              2.43497
       12.886              2.49580
       12.912              2.42015
       12.937              2.54762
       12.962              2.45514
       12.988              2.40422
       13.014              2.46148
       13.040              2.42052
       13.065              2.52916
       13.090              2.43374
       13.116              2.45197
       13.142              2.42735
       13.167              2.49343
       13.193              2.48122
       13.218              2.53313
       13.243              2.46690
       13.268              2.50426
       13.293              2.52043
       13.318              2.53887
       13.343              2.46081
       13.368              2.58089
       13.393              2.40901
       13.418              2.60605
       13.443              2.49155
       13.468              2.52712
       13.493              2.54751
       13.517              2.69122
       13.541              2.46922
       13.566              2.53897
       13.591              2.54205
       13.616              2.53712
       13.641              2.52003
       13.665              2.56310
       13.690              2.57423
       13.714              2.63137
       13.738              2.59829
       13.762              2.58514
       13.787              2.50996
       13.812              2.56028
