        t / s      omega / (rad/s)
        0.204              0.15426
        0.553              0.21599
        0.817              0.26346
        1.040              0.30293
        1.237              0.33942
        1.414              0.37231
        1.577              0.39663
        1.732              0.41591
        1.878              0.44470
        2.014              0.47968
        2.143              0.49593
        2.268              0.51437
        2.386              0.54437
        2.499              0.56721
        2.609              0.57789
        2.716              0.59614
        2.820              0.61936
        2.920              0.63601
        3.018              0.63817
        3.113              0.68614
        3.204              0.69366
        3.297              0.66996
        3.384              0.76819
        3.467              0.74604
        3.552              0.73984
        3.635              0.76633
        3.716              0.80460
        3.794              0.79976
        3.874              0.77312
        3.951              0.86315
        4.025              0.83593
        4.099              0.86190
        4.171              0.89017
        4.241              0.88769
        4.313              0.87230
        4.382              0.92918
        4.451              0.90342
        4.519              0.93953
        4.583              1.03352
        4.647              0.94297
        4.715              0.91074
        4.781              0.97788
        4.844              1.00901
        4.907              1.00070
        4.969              1.02841
        5.030              1.03755
        5.090              1.06223
        5.149              1.06628
        5.208              1.05077
        5.267              1.07313
        5.325              1.10150
        5.382              1.10756
        5.439              1.09349
        5.496              1.10750
        5.552              1.15184
        5.606              1.14816
        5.661              1.15580
        5.716              1.14167
        5.769              1.19842
        5.821              1.24068
        5.874              1.14600
        5.926              1.23454
        5.977              1.25850
        6.027              1.23846
        6.077              1.30332
        6.126              1.26836
        6.175              1.24845
        6.225              1.28504
        6.274              1.27144
        6.323              1.33494
        6.370              1.29342
        6.419              1.30565
        6.467              1.30278
        6.514              1.34245
        6.561              1.34388
        6.607              1.37635
        6.654              1.34653
        6.700              1.37238
        6.745              1.38775
        6.790              1.40256
        6.836              1.36656
        6.881              1.43905
        6.926              1.34968
        6.970              1.46437
        7.014              1.40403
        7.059              1.42829
        7.102              1.44375
        7.145              1.52664
        7.188              1.40425
        7.232              1.44544
        7.275              1.45068
        7.318              1.44911
        7.362              1.44471
        7.405              1.47251
        7.447              1.48164
        7.489              1.51548
        7.531              1.50575
        7.573              1.50050
        7.615              1.46117
        7.658              1.49418
        7.700              1.50355
        7.741              1.51016
        7.783              1.52490
        7.824              1.53301
        7.865              1.54877
        7.905              1.56135
        7.945              1.54846
        7.986              1.52405
        8.027              1.54208
        8.068              1.58582
        8.107              1.56950
        8.147              1.56551
        8.187              1.59557
        8.226              1.60831
        8.266              1.58919
        8.305              1.59161
        8.344              1.61008
        8.383              1.61207
        8.423              1.57774
        8.462              1.66588
        8.500              1.64792
        8.539              1.56050
        8.577              1.75636
        8.613              1.67583
        8.651              1.63522
        8.689              1.66416
        8.727              1.72156
        8.763              1.68586
        8.802              1.60732
        8.839              1.76837
        8.875              1.69271
        8.912              1.72260
        8.948              1.75744
        8.984              1.73368
        9.021              1.68364
        9.057              1.77481
        9.093              1.70521
        9.130              1.75616
        9.164              1.91327
        9.199              1.72810
        9.236              1.65238
        9.273              1.76005
        9.308              1.79787
        9.343              1.77061
        9.378              1.80681
