        t / s      omega / (rad/s)
        0.106              0.29521
        0.291              0.40434
        0.434              0.47677
        0.556              0.56601
        0.663              0.60334
        0.763              0.65917
        0.855              0.70216
        0.941              0.76616
        1.021              0.80642
        1.096              0.86338
        1.168              0.87882
        1.238              0.92894
        1.304              0.97006
        1.368              1.01017
        1.430              1.01154
        1.490              1.09174
        1.548              1.04767
        1.605              1.16209
        1.660              1.13780
        1.714              1.18092
        1.767              1.21590
        1.817              1.30984
        1.866              1.22484
        1.916              1.28378
        1.965              1.30842
        2.012              1.32727
        2.060              1.34096
        2.106              1.38460
        2.151              1.41160
        2.194              1.46270
        2.237              1.46509
        2.280              1.47513
        2.323              1.45148
        2.366              1.49871
        2.407              1.52386
        2.448              1.54351
        2.488              1.57186
        2.528              1.59177
        2.567              1.62260
        2.606              1.65121
        2.644              1.64831
        2.682              1.63420
        2.720              1.66601
        2.757              1.72791
        2.794              1.71888
        2.830              1.72700
        2.866              1.77271
        2.901              1.79864
        2.936              1.78738
        2.971              1.80080
        3.006              1.83402
        3.040              1.84637
        3.074              1.81779
        3.108              1.92683
        3.141              1.91619
        3.174              1.82317
        3.207              2.06250
        3.238              1.97721
        3.270              1.93800
        3.302              1.98164
        3.333              2.05817
        3.364              2.02357
        3.396              1.93722
        3.426              2.14049
        3.456              2.05608
        3.487              2.10161
        3.516              2.15148
        3.546              2.13163
        3.575              2.07633
        3.605              2.19761
        3.634              2.12055
        3.663              2.18827
        3.691              2.39578
        3.718              2.16998
        3.748              2.08301
        3.777              2.22571
        3.805              2.28222
        3.833              2.25293
        3.860              2.30271
        3.887              2.31272
        3.914              2.35405
        3.941              2.35220
        3.968              2.31025
        3.995              2.34806
        4.021              2.39688
        4.048              2.39652
        4.074              2.35105
        4.101              2.38216
        4.127              2.45975
        4.152              2.44863
        4.178              2.44577
        4.204              2.42024
        4.229              2.51458
        4.254              2.60411
        4.279              2.39013
        4.304              2.57013
        4.329              2.60865
        4.353              2.55788
        4.377              2.68730
        4.401              2.60216
        4.425              2.55695
        4.449              2.62182
        4.473              2.58621
        4.497              2.70979
        4.521              2.61669
        4.545              2.64077
        4.569              2.62149
        4.592              2.69850
        4.615              2.69329
        4.639              2.75301
        4.662              2.68926
        4.685              2.73765
        4.708              2.75929
        4.730              2.78522
        4.753              2.70629
        4.776              2.84371
        4.799              2.66113
        4.821              2.88352
        4.844              2.76330
        4.866              2.80850
        4.888              2.83934
        4.910              3.00214
        4.932              2.76427
        4.954              2.84577
        4.976              2.85989
        4.998              2.85560
        5.020              2.84835
        5.042              2.90123
        5.064              2.92146
        5.085              2.99313
        5.106              2.96209
        5.127              2.95124
        5.149              2.87218
        5.171              2.94377
        5.192              2.95707
        5.213              2.96965
        5.234              2.99856
        5.255              3.00919
        5.276              3.04536
        5.296              3.06422
        5.317              3.03609
        5.338              2.98687
        5.359              3.02105
        5.379              3.10833
        5.400              3.06916
        5.420              3.06497
        5.440              3.12099
        5.460              3.14222
        5.481              3.10480
        5.501              3.10465
        5.521              3.14364
        5.541              3.14159
        5.561              3.07728
        5.581              3.24109
        5.600              3.19901
        5.621              3.03228
        5.640              3.40940
        5.659              3.24629
        5.679              3.17028
        5.698              3.22016
        5.718              3.32725
        5.737              3.25824
        5.756              3.09913
        5.776              3.40903
        5.795              3.25858
        5.814              3.31042
        5.833              3.37878
        5.851              3.32902
        5.870              3.22877
        5.889              3.40239
        5.908              3.26756
        5.927              3.35838
        5.945              3.65918
        5.963              3.30416
        5.983              3.15643
        6.002              3.35604
        6.021              3.43081
        6.039              3.36882
        6.058              3.44077
        6.076              3.43419
        6.094              3.48369
        6.112              3.47829
        6.130              3.39485
        6.149              3.44171
        6.167              3.50487
        6.185              3.49085
        6.203              3.42221
        6.221              3.44397
        6.239              3.55143
        6.257              3.51901
        6.275              3.51901
        6.293              3.44643
        6.311              3.60481
        6.328              3.69969
        6.346              3.39283
        6.364              3.63863
        6.381              3.69056
        6.398              3.60378
        6.415              3.77981
        6.432              3.65280
        6.449              3.57365
        6.467              3.66217
        6.484              3.61186
        6.501              3.76984
        6.518              3.63127
        6.535              3.66516
        6.552              3.62896
        6.569              3.72359
        6.586              3.72050
        6.603              3.78802
        6.620              3.69447
        6.637              3.75676
        6.653              3.78118
        6.670              3.80430
        6.687              3.69664
        6.703              3.87875
        6.720              3.62018
        6.737              3.92135
        6.753              3.75048
        6.770              3.80430
        6.786              3.84128
        6.802              4.05969
        6.818              3.72491
        6.835              3.83612
        6.851              3.84575
        6.868              3.83402
        6.884              3.81377
        6.900              3.87803
        6.917              3.90916
        6.933              3.99465
        6.948              3.94078
        6.964              3.93191
        6.981              3.82073
        6.997              3.89293
        7.013              3.91695
        7.029              3.93338
        7.045              3.94821
        7.061              3.96866
        7.076              4.00560
        7.092              4.02510
        7.108              3.98149
        7.124              3.91793
        7.140              3.95194
        7.155              4.05524
        7.171              4.01046
        7.187              3.98856
        7.202              4.05812
        7.218              4.08530
        7.233              4.02613
        7.249              4.02072
