        t / s      omega / (rad/s)
       12.061              2.64166
       12.084              2.68054
       12.108              2.73146
       12.131              2.68558
       12.155              2.60421
       12.178              2.73789
       12.202              2.62840
       12.225              2.69827
       12.248              2.93634
       12.270              2.64600
       12.294              2.52337
       12.319              2.68627
       12.342              2.73825
       12.365              2.69156
       12.388              2.73682
       12.411              2.73574
       12.434              2.77110
       12.457              2.75857
       12.480              2.69526
       12.503              2.72956
       12.526              2.77563
       12.548              2.75941
       12.571              2.70407
       12.595              2.71670
       12.617              2.80049
       12.640              2.77232
       12.663              2.76890
       12.685              2.71905
       12.708              2.82403
