        t / s      omega / (rad/s)
        0.162              0.19367
        0.452              0.24713
        0.677              0.31944
        0.860              0.36998
        1.024              0.40060
        1.171              0.45557
        1.306              0.47354
        1.436              0.49221
        1.560              0.52932
        1.677              0.54390
        1.788              0.59076
        1.894              0.58969
        1.999              0.61341
        2.100              0.62883
        2.197              0.66592
        2.290              0.68218
        2.380              0.71428
        2.468              0.71317
        2.555              0.73998
        2.639              0.75986
        2.720              0.77979
        2.801              0.77041
        2.880              0.82063
        2.959              0.77937
        3.036              0.85536
        3.111              0.82846
        3.185              0.85190
        3.258              0.87164
        3.328              0.93030
        3.398              0.86313
        3.470              0.89451
        3.540              0.90554
        3.609              0.91008
        3.678              0.91325
        3.746              0.93720
        3.812              0.95122
        3.877              0.98098
        3.941              0.97796
        4.006              0.98055
        4.070              0.96048
        4.135              0.98881
        4.198              1.00172
        4.260              1.01187
        4.322              1.02735
        4.383              1.03882
        4.443              1.05687
        4.502              1.07302
        4.560              1.07114
        4.619              1.06090
        4.678              1.07990
        4.735              1.11669
        4.792              1.11154
        4.848              1.11479
        4.904              1.14244
        4.958              1.15819
        5.013              1.15197
        5.067              1.16140
        5.121              1.18174
        5.174              1.19027
        5.227              1.17287
        5.279              1.24115
        5.330              1.23345
        5.382              1.17285
        5.433              1.32601
        5.481              1.27013
        5.531              1.24427
        5.581              1.27079
        5.629              1.32052
        5.677              1.29727
        5.727              1.24152
        5.775              1.37172
        5.822              1.31734
        5.869              1.34679
        5.915              1.37992
        5.961              1.36621
        6.008              1.33251
        6.053              1.41087
        6.099              1.36094
        6.144              1.40629
        6.187              1.53766
        6.230              1.39453
        6.276              1.33884
        6.321              1.43027
        6.365              1.46917
        6.408              1.44978
        6.451              1.48437
        6.493              1.48817
        6.535              1.51676
        6.576              1.51490
        6.618              1.48746
        6.660              1.51464
        6.701              1.54462
        6.742              1.54743
        6.782              1.52091
        6.824              1.53282
        6.864              1.59185
        6.903              1.58291
        6.943              1.58718
        6.983              1.56112
        7.022              1.63234
        7.060              1.68653
        7.099              1.55179
        7.138              1.66257
        7.176              1.69322
        7.213              1.65888
        7.250              1.74093
        7.287              1.68826
        7.324              1.65845
        7.362              1.70299
        7.399              1.68072
        7.435              1.76064
        7.472              1.70161
        7.509              1.71526
        7.545              1.70563
        7.582              1.75361
        7.617              1.75063
        7.653              1.79018
        7.688              1.74761
        7.724              1.77722
        7.759              1.79228
        7.794              1.80848
        7.829              1.75631
        7.864              1.84377
        7.900              1.72407
        7.935              1.86755
        7.969              1.78657
        8.004              1.81579
        8.038              1.83494
        8.072              1.94093
        8.106              1.78571
        8.140              1.84036
        8.174              1.84838
        8.208              1.84474
        8.242              1.83956
        8.276              1.87301
        8.310              1.88520
        8.343              1.93180
        8.375              1.91089
        8.408              1.90371
        8.442              1.85328
        8.475              1.89139
        8.508              1.90590
        8.541              1.91316
        8.574              1.92777
        8.606              1.93937
        8.639              1.95695
        8.671              1.97150
        8.703              1.95519
        8.735              1.92093
        8.768              1.94357
        8.800              1.99796
        8.831              1.97560
        8.863              1.97101
        8.895              2.00689
        8.926              2.02110
        8.957              1.99694
        8.989              1.99923
        9.020              2.01928
        9.051              2.02142
        9.082              1.98008
        9.113              2.08232
        9.144              2.05918
        9.175              1.94888
        9.205              2.19217
        9.235              2.09021
        9.265              2.03794
        9.296              2.07338
        9.326              2.14333
        9.355              2.09551
        9.386              1.99688
        9.416              2.19538
        9.445              2.09803
        9.475              2.13431
        9.504              2.17667
        9.533              2.14502
        9.563              2.08163
        9.592              2.19278
        9.622              2.10781
        9.651              2.16579
        9.679              2.36103
        9.707              2.13025
        9.737              2.03629
        9.767              2.16557
        9.796              2.21348
        9.824              2.17426
        9.853              2.21528
        9.881              2.21762
        9.909              2.25075
        9.937              2.24127
        9.966              2.19523
        9.994              2.22193
       10.022              2.26405
       10.050              2.25422
       10.078              2.21293
       10.107              2.22201
       10.134              2.29640
       10.162              2.27512
       10.189              2.27281
       10.217              2.23752
       10.245              2.32195
       10.272              2.39369
       10.299              2.19477
       10.327              2.35396
       10.353              2.38180
       10.380              2.33177
       10.406              2.43714
       10.432              2.36219
       10.459              2.31084
       10.486              2.36503
       10.513              2.33419
       10.539              2.43553
       10.566              2.35334
       10.592              2.36361
       10.619              2.34903
       10.645              2.40910
       10.671              2.40403
       10.697              2.44844
       10.723              2.39032
       10.749              2.42594
       10.775              2.44377
       10.801              2.46100
       10.827              2.38868
       10.852              2.50576
       10.878              2.34063
       10.904              2.53324
       10.929              2.42089
       10.955              2.45677
       10.981              2.47867
       11.005              2.61592
       11.030              2.40247
       11.056              2.46971
       11.082              2.47623
       11.107              2.46835
       11.133              2.45514
       11.158              2.49362
       11.183              2.50786
       11.208              2.56698
       11.233              2.53375
       11.257              2.52327
       11.283              2.44825
       11.308              2.50256
       11.333              2.51036
       11.358              2.51670
       11.383              2.53375
       11.408              2.54267
       11.432              2.56132
       11.457              2.58005
       11.481              2.54937
       11.506              2.50656
       11.531              2.52682
       11.556              2.59539
       11.580              2.56268
       11.605              2.55144
       11.629              2.59475
       11.653              2.60897
       11.677              2.57191
       11.702              2.57223
       11.726              2.59336
       11.750              2.59379
       11.775              2.53426
       11.799              2.66700
       11.823              2.63071
       11.847              2.48455
       11.871              2.79315
       11.894              2.65663
       11.918              2.58802
       11.942              2.62587
       11.966              2.71248
       11.989              2.64734
       12.014              2.52033
       12.038              2.76391
