        t / s      omega / (rad/s)
        0.148              0.21295
        0.405              0.28589
        0.601              0.36259
        0.763              0.42048
        0.904              0.46942
        1.033              0.51222
        1.150              0.56343
        1.257              0.60575
        1.357              0.65623
        1.451              0.68254
        1.541              0.71175
        1.629              0.72204
        1.713              0.76722
        1.794              0.79938
        1.871              0.82817
        1.945              0.86052
        2.017              0.88784
        2.087              0.92100
        2.154              0.95165
        2.219              0.96377
        2.284              0.96943
        2.348              1.00153
        2.409              1.04938
        2.469              1.05689
        2.528              1.07258
        2.586              1.11083
        2.642              1.13671
        2.697              1.13995
        2.752              1.15806
        2.805              1.18757
        2.858              1.20428
        2.910              1.19454
        2.961              1.27363
        3.010              1.27394
        3.061              1.21968
        3.109              1.38680
        3.155              1.33617
        3.203              1.31698
        3.250              1.35306
        3.295              1.41189
        3.340              1.39478
        3.386              1.34101
        3.431              1.48729
        3.474              1.43491
        3.517              1.47154
        3.559              1.51439
        3.601              1.50351
        3.643              1.47027
        3.684              1.56166
        3.725              1.51114
        3.766              1.56649
        3.804              1.71498
        3.843              1.56015
        3.884              1.50154
        3.924              1.60839
        3.963              1.65473
        4.001              1.63561
        4.039              1.67802
        4.076              1.68717
        4.113              1.72288
        4.150              1.72591
        4.186              1.69669
        4.223              1.72981
        4.259              1.76921
        4.294              1.77376
        4.330              1.74586
        4.366              1.76187
        4.401              1.83515
        4.435              1.82481
        4.470              1.82714
        4.504              1.80442
        4.538              1.89630
        4.571              1.95288
        4.604              1.80246
        4.638              1.94255
        4.670              1.96940
        4.702              1.94267
        4.734              2.04039
        4.765              1.97958
        4.797              1.94948
        4.829              2.00159
        4.860              1.97902
        4.891              2.07729
        4.922              2.00696
        4.953              2.02775
        4.984              2.01908
        5.015              2.07929
        5.045              2.08032
        5.075              2.12859
        5.105              2.08066
        5.135              2.12248
        5.164              2.14173
        5.194              2.16512
        5.223              2.10577
        5.252              2.21528
        5.281              2.07427
        5.311              2.24464
        5.339              2.15266
        5.368              2.18705
        5.397              2.21161
        5.424              2.34037
        5.452              2.15436
        5.481              2.22052
        5.509              2.23085
        5.537              2.23014
        5.566              2.22319
        5.594              2.26674
        5.621              2.28322
        5.648              2.33871
        5.675              2.32015
        5.703              2.30957
        5.730              2.25188
        5.758              2.30018
        5.785              2.31749
        5.812              2.32831
        5.839              2.35070
        5.866              2.36068
        5.892              2.38832
        5.918              2.40569
        5.944              2.38632
        5.971              2.34640
        5.998              2.37729
        6.024              2.44178
        6.050              2.41884
        6.076              2.41068
        6.101              2.45879
        6.127              2.47623
        6.152              2.44730
        6.178              2.45150
        6.203              2.47730
        6.229              2.48161
        6.254              2.42988
        6.280              2.56070
        6.304              2.53119
        6.330              2.39652
        6.355              2.69526
        6.378              2.57149
        6.403              2.50966
        6.428              2.55258
        6.452              2.63922
        6.476              2.58238
        6.501              2.46177
        6.526              2.70699
        6.549              2.58812
        6.573              2.63313
        6.597              2.68696
        6.621              2.64845
        6.645              2.57097
        6.668              2.70897
        6.692              2.60335
        6.716              2.67803
        6.738              2.91739
        6.761              2.63501
        6.786              2.51902
        6.810              2.67860
        6.833              2.74135
        6.856              2.69202
        6.879              2.74471
        6.902              2.74135
        6.925              2.79265
        6.947              2.77330
        6.970              2.71893
        6.993              2.75445
        7.016              2.80312
        7.038              2.79775
        7.061              2.74004
        7.084              2.75990
        7.106              2.84590
        7.128              2.82327
        7.151              2.81909
        7.173              2.77293
        7.195              2.88975
        7.217              2.97302
        7.239              2.72743
        7.261              2.91766
        7.282              2.96657
        7.304              2.89868
        7.325              3.03756
        7.346              2.93840
        7.368              2.88101
        7.389              2.94764
        7.411              2.90861
        7.432              3.03961
        7.453              2.93045
        7.474              2.95207
        7.496              2.92813
        7.517              3.00832
        7.538              2.99971
        7.558              3.06079
        7.579              2.98630
        7.600              3.03330
        7.621              3.05365
        7.641              3.07969
        7.662              2.98858
        7.683              3.13501
        7.703              2.93059
        7.724              3.17268
        7.744              3.03389
        7.765              3.08392
        7.785              3.11172
        7.805              3.28687
        7.825              3.02163
        7.845              3.10726
        7.865              3.11666
        7.885              3.10849
        7.906              3.09242
        7.926              3.14962
        7.946              3.16469
        7.965              3.23292
        7.985              3.20636
        8.005              3.18281
        8.025              3.09715
        8.045              3.16326
        8.065              3.17445
        8.084              3.18555
        8.104              3.20800
        8.123              3.21901
        8.143              3.24914
        8.162              3.26535
        8.182              3.23409
        8.201              3.17653
        8.221              3.20783
        8.240              3.29532
        8.259              3.25082
        8.279              3.24176
        8.298              3.29549
        8.317              3.31497
        8.336              3.27113
        8.355              3.26739
        8.374              3.29913
        8.393              3.29411
        8.413              3.22612
        8.432              3.39302
        8.450              3.34675
        8.470              3.16597
        8.488              3.55464
        8.507              3.38260
        8.525              3.29705
        8.544              3.34675
        8.563              3.45610
        8.581              3.37588
        8.600              3.21095
        8.619              3.52869
        8.637              3.36575
        8.656              3.41905
        8.674              3.48485
        8.692              3.42800
        8.711              3.32496
        8.729              3.49785
        8.747              3.35551
        8.766              3.44889
        8.783              3.74981
        8.801              3.38169
        8.820              3.22645
        8.839              3.43175
        8.857              3.50448
        8.875              3.43550
        8.893              3.50370
        8.911              3.49649
        8.929              3.54282
        8.947              3.53008
        8.965              3.44662
        8.983              3.48814
        9.001              3.54822
        9.019              3.53226
        9.037              3.45857
        9.055              3.47694
        9.073              3.58363
        9.090              3.54702
        9.108              3.54362
        9.126              3.47425
        9.144              3.61601
        9.161              3.71764
        9.178              3.41311
        9.196              3.64306
        9.213              3.68861
        9.231              3.59121
        9.248              3.79236
        9.264              3.67223
        9.282              3.57019
        9.299              3.66409
        9.316              3.60792
        9.334              3.75834
        9.351              3.62436
        9.368              3.65280
        9.385              3.61206
        9.402              3.70974
        9.419              3.69773
        9.436              3.76329
        9.453              3.67287
        9.470              3.72690
        9.487              3.74758
        9.503              3.77777
        9.520              3.66153
        9.537              3.83636
        9.554              3.58466
        9.571              3.87779
        9.588              3.70405
        9.604              3.75991
        9.621              3.78688
