        t / s      omega / (rad/s)
        6.201              1.88991
        6.235              1.91619
        6.268              1.88407
        6.300              1.97349
        6.333              1.91321
        6.366              1.87771
        6.399              1.93097
        6.431              1.90307
        6.464              1.99302
        6.496              1.92777
        6.528              1.94003
        6.561              1.92830
        6.593              1.98552
        6.625              1.98027
        6.656              2.02390
        6.687              1.97815
        6.719              2.01126
        6.750              2.03024
        6.781              2.04824
        6.812              1.99283
        6.843              2.09377
        6.874              1.95939
        6.904              2.12349
        6.935              2.03293
        6.965              2.06745
        6.996              2.08799
        7.025              2.20912
        7.055              2.03024
        7.085              2.08820
        7.115              2.10063
        7.145              2.09530
        7.175              2.08924
        7.205              2.12557
        7.234              2.14012
        7.263              2.19148
        7.292              2.16662
        7.321              2.16006
        7.351              2.10007
        7.380              2.14656
        7.410              2.15991
        7.439              2.16445
        7.467              2.18637
        7.496              2.19194
        7.525              2.21613
        7.553              2.22998
        7.581              2.20951
        7.610              2.17283
        7.639              2.19423
        7.667              2.25746
        7.695              2.22903
        7.723              2.22178
        7.751              2.26421
        7.779              2.28164
        7.807              2.25107
        7.834              2.25333
        7.862              2.27875
        7.890              2.27602
        7.918              2.23069
        7.945              2.34622
        7.972              2.32075
        8.000              2.19339
        8.027              2.46690
        8.053              2.35149
        8.080              2.29196
        8.107              2.33168
        8.134              2.40874
        8.160              2.35555
        8.188              2.24472
        8.214              2.46564
        8.240              2.35829
        8.267              2.39624
        8.293              2.44596
        8.319              2.40800
        8.345              2.33758
        8.371              2.46187
        8.397              2.36157
        8.424              2.43299
        8.448              2.64511
        8.473              2.39268
        8.500              2.28289
        8.527              2.43026
        8.553              2.48151
        8.578              2.43988
        8.604              2.48573
        8.629              2.48524
        8.654              2.52185
        8.679              2.51076
        8.704              2.45744
        8.730              2.48997
        8.755              2.53181
        8.780              2.52479
        8.805              2.47633
        8.830              2.48681
        8.855              2.56960
        8.879              2.54195
        8.904              2.54689
        8.929              2.49699
        8.954              2.60055
        8.978              2.66791
        9.002              2.44501
        9.027              2.61005
        9.051              2.68352
        9.075              2.59111
        9.098              2.73944
        9.122              2.63104
        9.146              2.59026
        9.170              2.63944
        9.194              2.60216
        9.217              2.72023
        9.241              2.61821
        9.265              2.63933
        9.289              2.61375
        9.312              2.68696
        9.336              2.67199
        9.359              2.73028
        9.382              2.65752
        9.406              2.70163
        9.429              2.71682
        9.452              2.73658
        9.475              2.65528
        9.499              2.78424
        9.522              2.60184
        9.545              2.81303
        9.568              2.69249
        9.591              2.73111
        9.614              2.75627
        9.636              2.91090
        9.659              2.67222
        9.682              2.74987
        9.705              2.75433
        9.728              2.74915
        9.751              2.73515
        9.773              2.77980
        9.796              2.79626
        9.818              2.85716
        9.840              2.82657
        9.863              2.80926
        9.885              2.73241
        9.908              2.78695
        9.930              2.79974
        9.953              2.80462
        9.975              2.82505
        9.997              2.83524
       10.020              2.85677
       10.041              2.87678
       10.063              2.84397
       10.086              2.79191
       10.108              2.81959
       10.130              2.89748
       10.152              2.85664
       10.174              2.84835
       10.196              2.89601
       10.217              2.91333
       10.239              2.86943
       10.261              2.87113
       10.283              2.89654
       10.305              2.89428
       10.327              2.83371
       10.348              2.97105
       10.369              2.93978
       10.391              2.77465
       10.413              3.11759
       10.434              2.96713
       10.455              2.88922
       10.477              2.93374
       10.498              3.02687
       10.519              2.95805
       10.540              2.81215
       10.562              3.08802
       10.583              2.94833
       10.604              2.99228
       10.625              3.05113
       10.645              3.00100
       10.667              2.90781
       10.688              3.06198
       10.709              2.93401
       10.730              3.01685
       10.750              3.27813
       10.770              2.95819
       10.792              2.82454
       10.813              2.99642
       10.834              3.06407
       10.855              3.00343
       10.875              3.06124
       10.896              3.05484
       10.916              3.09684
       10.937              3.08317
       10.957              3.00818
       10.978              3.05231
       10.999              3.09623
       11.019              3.08392
       11.040              3.01786
       11.060              3.03243
       11.081              3.13751
       11.101              3.09181
       11.121              3.09425
       11.142              3.03096
       11.162              3.15247
