        t / s      omega / (rad/s)
        0.136              0.23159
        0.383              0.28216
        0.581              0.36069
        0.744              0.41487
        0.890              0.44611
        1.023              0.50588
        1.145              0.52436
        1.262              0.54618
        1.373              0.59009
        1.478              0.60954
        1.576              0.66530
        1.671              0.66680
        1.763              0.69474
        1.852              0.71275
        1.938              0.75378
        2.020              0.77180
        2.100              0.80759
        2.178              0.80588
        2.254              0.83688
        2.328              0.86082
        2.401              0.88418
        2.472              0.87542
        2.541              0.93550
        2.610              0.88969
        2.678              0.97791
        2.743              0.94796
        2.808              0.97517
        2.872              0.99671
        2.933              1.06656
        2.994              0.99234
        3.056              1.03415
        3.117              1.04984
        3.176              1.06061
        3.235              1.06824
        3.293              1.09844
        3.350              1.11568
        3.405              1.15235
        3.460              1.15024
        3.514              1.15447
        3.569              1.13309
        3.624              1.16864
        3.677              1.18535
        3.730              1.19828
        3.782              1.21814
        3.833              1.23243
        3.884              1.25338
        3.934              1.27154
        3.983              1.26797
        4.033              1.25576
        4.083              1.27793
        4.131              1.32180
        4.179              1.31599
        4.226              1.31889
        4.273              1.35332
        4.319              1.37041
        4.365              1.36009
        4.411              1.36960
        4.457              1.39224
        4.502              1.40031
        4.547              1.37744
        4.592              1.45744
        4.635              1.44777
        4.679              1.37792
        4.722              1.55671
        4.764              1.49096
        4.806              1.46009
        4.849              1.49103
        4.890              1.54835
        4.931              1.52010
        4.973              1.45414
        5.014              1.60412
        5.054              1.53958
        5.095              1.56974
        5.134              1.60630
        5.174              1.58787
        5.214              1.54568
        5.253              1.63335
        5.293              1.57481
        5.332              1.62457
        5.369              1.77541
        5.406              1.60753
        5.446              1.54204
        5.486              1.64507
        5.523              1.68771
        5.561              1.66226
        5.598              1.70013
        5.635              1.70452
        5.672              1.73948
        5.708              1.73406
        5.744              1.70087
        5.781              1.73133
        5.817              1.76425
        5.853              1.76365
        5.888              1.73430
        5.925              1.74975
        5.960              1.81051
        5.995              1.79766
        6.030              1.80437
        6.065              1.77436
        6.099              1.85542
        6.133              1.90914
        6.167              1.76059
