        t / s      omega / (rad/s)
        6.713              1.82534
        6.747              1.83724
        6.781              1.88277
        6.814              1.86411
        6.848              1.85794
        6.882              1.81119
        6.917              1.85334
        6.950              1.86544
        6.984              1.87334
        7.017              1.89184
        7.051              1.90031
        7.083              1.92111
        7.116              1.93770
        7.149              1.91859
        7.182              1.88957
        7.215              1.91240
        7.247              1.96565
        7.279              1.94538
        7.312              1.94147
        7.344              1.97678
        7.375              1.99314
        7.407              1.96879
        7.439              1.97107
        7.471              1.99479
        7.502              1.99637
        7.534              1.95604
        7.565              2.06006
        7.596              2.03801
        7.628              1.92949
        7.658              2.17141
        7.688              2.07174
        7.719              2.01993
        7.749              2.05682
        7.779              2.12600
        7.809              2.08211
        7.840              1.98383
        7.871              2.18151
        7.900              2.08785
        7.930              2.12413
        7.959              2.16669
        7.988              2.13888
        8.018              2.07352
        8.048              2.18713
        8.077              2.10175
        8.106              2.16207
        8.134              2.35511
        8.162              2.12787
        8.193              2.03425
        8.223              2.16415
        8.251              2.21192
        8.280              2.17464
        8.309              2.21934
        8.337              2.21911
        8.365              2.25212
        8.393              2.24721
        8.421              2.19462
        8.450              2.23132
        8.478              2.26364
        8.505              2.26511
        8.533              2.21567
        8.562              2.23251
        8.589              2.30415
        8.617              2.28363
        8.644              2.28430
        8.672              2.24480
        8.699              2.33749
        8.726              2.40523
        8.753              2.21239
        8.781              2.36308
        8.807              2.40569
        8.833              2.34622
        8.860              2.45427
        8.886              2.38533
        8.912              2.33558
        8.939              2.39405
        8.965              2.35431
        8.991              2.46535
        9.017              2.37424
        9.044              2.39214
        9.070              2.37316
        9.096              2.43704
        9.122              2.43082
        9.148              2.48200
        9.173              2.42024
        9.199              2.45917
        9.224              2.47691
        9.250              2.49660
        9.275              2.42183
        9.301              2.54390
        9.326              2.37541
        9.352              2.57255
        9.377              2.46014
        9.402              2.49948
        9.427              2.52256
        9.451              2.66632
        9.476              2.44911
        9.501              2.51942
        9.526              2.52783
        9.551              2.52215
        9.576              2.51016
        9.601              2.55258
        9.625              2.56666
        9.649              2.62379
        9.673              2.59646
        9.698              2.58302
        9.722              2.51006
        9.747              2.56164
        9.772              2.57571
        9.796              2.57983
        9.820              2.60044
        9.844              2.60800
        9.868              2.63236
        9.892              2.64934
        9.916              2.62007
        9.940              2.57370
        9.965              2.60076
        9.988              2.66813
       10.012              2.63789
       10.036              2.62587
       10.060              2.67108
       10.083              2.68696
       10.107              2.64957
       10.130              2.64700
       10.154              2.67780
       10.177              2.67097
       10.201              2.61527
       10.225              2.74795
       10.248              2.71694
       10.272              2.56467
       10.295              2.88233
       10.317              2.74483
       10.340              2.67426
       10.364              2.71424
       10.386              2.80399
       10.409              2.73908
       10.432              2.60756
       10.456              2.86224
       10.478              2.73444
       10.501              2.77722
       10.523              2.82912
       10.546              2.78633
       10.568              2.69954
       10.591              2.84307
       10.614              2.72684
       10.636              2.80099
       10.658              3.04698
       10.680              2.75132
       10.703              2.62434
       10.726              2.79091
       10.749              2.84629
       10.771              2.79875
       10.793              2.84668
       10.815              2.84423
       10.837              2.88444
       10.859              2.86681
       10.881              2.80524
       10.903              2.83691
       10.925              2.88643
       10.947              2.87271
       10.969              2.81681
       10.992              2.82772
       11.013              2.91753
       11.035              2.88749
       11.057              2.88220
       11.079              2.83154
       11.101              2.93744
       11.122              3.02483
       11.144              2.76305
       11.166              2.95777
       11.187              3.03418
       11.208              2.93251
       11.228              3.09486
       11.249              2.97880
       11.270              2.91834
       11.292              2.98602
       11.313              2.93278
       11.334              3.06796
       11.355              2.95360
       11.376              2.97134
       11.397              2.94267
       11.418              3.02251
       11.439              3.00962
       11.460              3.06751
       11.481              2.99100
       11.501              3.03213
       11.522              3.05498
       11.543              3.07186
       11.563              2.98276
       11.584              3.12581
       11.605              2.91671
       11.625              3.15468
       11.646              3.01511
       11.667              3.06228
       11.687              3.08620
       11.707              3.25942
       11.727              2.99114
       11.748              3.07577
