        t / s      omega / (rad/s)
        0.198              0.15839
        0.528              0.23996
        0.764              0.29766
        0.959              0.35147
        1.128              0.39503
        1.279              0.44133
        1.417              0.47042
        1.546              0.49950
        1.670              0.51502
        1.788              0.55336
        1.899              0.58204
        2.004              0.60813
        2.105              0.63789
        2.202              0.66345
        2.295              0.69222
        2.384              0.71708
        2.471              0.73103
        2.556              0.73876
        2.640              0.76572
        2.720              0.80508
        2.797              0.81354
        2.874              0.82727
        2.948              0.85856
        3.021              0.87957
        3.092              0.88402
        3.162              0.89999
        3.231              0.92438
        3.299              0.93898
        3.366              0.93298
        3.431              0.99632
        3.494              0.99855
        3.558              0.95718
        3.620              1.09055
        3.679              1.05211
        3.739              1.03811
        3.799              1.06781
        3.856              1.11634
        3.913              1.10326
        3.971              1.06252
        4.027              1.18003
        4.081              1.13970
        4.136              1.16938
        4.189              1.20356
        4.241              1.19677
        4.294              1.17145
        4.346              1.24481
        4.397              1.20550
        4.448              1.25001
        4.497              1.37175
        4.545              1.24815
        4.596              1.20186
        4.646              1.28783
        4.695              1.32582
        4.742              1.31170
        4.789              1.34630
        4.836              1.35530
        4.882              1.38482
        4.927              1.38665
        4.973              1.36546
        5.018              1.39354
        5.063              1.42385
        5.107              1.42395
        5.151              1.41091
        5.196              1.42667
        5.239              1.47965
        5.282              1.47285
        5.324              1.47892
        5.367              1.45893
        5.409              1.53125
        5.449              1.58350
        5.491              1.45964
        5.532              1.56801
        5.572              1.60049
        5.612              1.57029
        5.651              1.65273
        5.689              1.60556
        5.729              1.58020
        5.768              1.62369
        5.807              1.60457
        5.845              1.68459
        5.883              1.63064
        5.921              1.64486
        5.960              1.63846
        5.997              1.68798
        6.035              1.68912
        6.071              1.72814
        6.108              1.68857
        6.145              1.71921
        6.181              1.73655
        6.217              1.75195
        6.254              1.70387
        6.290              1.79223
        6.326              1.67798
        6.362              1.81710
        6.397              1.74059
        6.433              1.76996
        6.468              1.78748
        6.503              1.88968
        6.537              1.73814
        6.573              1.79059
        6.608              1.79807
        6.643              1.79581
        6.678              1.79039
