        t / s      omega / (rad/s)
        9.041              2.98474
        9.062              3.04094
        9.082              3.06243
        9.103              3.06736
        9.123              3.08635
        9.143              3.10419
        9.164              3.12037
        9.184              3.14584
        9.204              3.11187
        9.224              3.05216
        9.245              3.08802
        9.265              3.16278
        9.285              3.12799
        9.305              3.11172
        9.325              3.16677
        9.345              3.18782
        9.364              3.13657
        9.384              3.14144
        9.404              3.16773
        9.424              3.16390
        9.444              3.09761
        9.464              3.24981
        9.484              3.21604
        9.504              3.03521
        9.523              3.40700
        9.542              3.24780
        9.562              3.15960
        9.581              3.20996
        9.601              3.31532
        9.620              3.23675
        9.640              3.07939
        9.659              3.38133
        9.678              3.22977
        9.698              3.27676
        9.717              3.34105
        9.736              3.28825
        9.755              3.18442
        9.774              3.35318
        9.793              3.21539
        9.813              3.30398
        9.831              3.59327
        9.849              3.24126
        9.869              3.09425
        9.889              3.28670
        9.908              3.35354
        9.927              3.29618
        9.946              3.35175
        9.964              3.34782
        9.983              3.39173
       10.002              3.37280
       10.020              3.30277
       10.039              3.34212
       10.058              3.38972
       10.077              3.38698
       10.095              3.30973
       10.114              3.32496
       10.133              3.43475
       10.151              3.38771
       10.170              3.38862
       10.189              3.32338
