        t / s      omega / (rad/s)
        0.120              0.26219
        0.330              0.34839
        0.503              0.37871
        0.654              0.45934
        0.784              0.51346
        0.903              0.54223
        1.013              0.60670
        1.115              0.62161
        1.214              0.64291
        1.309              0.69103
        1.398              0.71059
        1.483              0.77068
        1.565              0.76987
        1.645              0.79807
        1.723              0.81566
        1.798              0.85946
        1.870              0.87840
        1.940              0.91590
        2.009              0.91320
        2.077              0.94621
        2.142              0.97198
        2.206              0.99809
        2.269              0.98606
        2.331              1.05188
        2.392              0.99911
        2.453              1.09804
        2.511              1.06533
        2.569              1.09601
        2.626              1.11966
        2.680              1.19707
        2.734              1.11091
        2.790              1.15623
        2.844              1.17228
        2.897              1.18121
        2.950              1.18629
        3.003              1.21805
        3.054              1.23510
        3.104              1.27329
        3.153              1.26941
        3.203              1.27347
        3.253              1.24743
        3.302              1.28325
        3.351              1.29992
        3.399              1.31340
        3.446              1.33418
        3.493              1.34798
        3.540              1.37026
        3.585              1.38959
        3.630              1.38430
        3.676              1.36987
        3.721              1.39280
        3.766              1.43918
        3.810              1.42995
        3.854              1.43445
        3.897              1.47113
        3.939              1.48866
        3.982              1.47718
        4.024              1.48651
        4.066              1.51049
        4.107              1.51940
        4.149              1.49440
        4.190              1.58107
        4.230              1.57017
        4.271              1.49227
        4.311              1.68653
        4.349              1.61542
        4.388              1.58227
        4.427              1.61580
        4.465              1.67699
        4.503              1.64731
        4.542              1.57604
        4.580              1.73972
        4.617              1.66973
        4.654              1.70387
        4.691              1.74683
        4.727              1.72710
        4.764              1.68161
        4.800              1.77873
        4.836              1.71611
        4.872              1.77251
        4.906              1.93633
        4.940              1.75586
        4.977              1.68518
        5.013              1.79905
        5.047              1.84534
        5.082              1.82047
        5.116              1.86224
        5.150              1.86700
        5.183              1.90250
        5.216              1.90020
        5.249              1.86467
        5.283              1.89681
        5.315              1.93388
        5.348              1.93478
        5.381              1.90112
        5.414              1.91794
        5.446              1.98546
        5.478              1.97014
        5.509              1.97883
        5.541              1.94683
        5.573              2.02880
        5.604              2.08301
        5.635              1.92535
        5.667              2.06759
        5.697              2.11249
        5.727              2.05615
        5.756              2.17667
        5.786              2.09488
        5.816              2.06629
        5.846              2.11263
        5.876              2.08515
        5.906              2.18599
        5.935              2.10591
        5.965              2.12917
        5.994              2.11143
        6.023              2.17261
        6.052              2.16878
        6.081              2.21449
        6.110              2.16460
        6.139              2.19684
        6.167              2.22005
        6.195              2.23490
        6.224              2.17449
        6.252              2.28330
        6.280              2.13641
        6.309              2.31510
        6.336              2.21653
        6.365              2.25398
        6.392              2.27495
        6.419              2.40726
        6.446              2.21387
        6.474              2.27924
        6.502              2.28679
        6.529              2.28546
        6.557              2.27569
        6.584              2.31860
        6.611              2.33039
        6.638              2.38823
        6.664              2.36166
        6.691              2.35519
        6.718              2.28871
        6.745              2.34063
        6.772              2.35361
        6.799              2.36041
        6.825              2.38198
        6.852              2.39168
        6.878              2.41420
        6.904              2.43157
        6.930              2.40800
        6.956              2.36815
        6.982              2.39597
        7.008              2.46197
        7.034              2.43336
        7.060              2.42519
        7.085              2.47379
        7.111              2.48691
        7.136              2.45447
        7.162              2.45850
        7.187              2.48337
        7.212              2.48504
        7.238              2.43261
        7.263              2.56049
        7.288              2.53089
        7.313              2.39396
        7.338              2.68983
        7.362              2.56530
        7.387              2.49908
        7.412              2.54256
        7.436              2.62368
        7.460              2.56907
        7.485              2.44491
        7.510              2.68730
        7.534              2.56834
        7.558              2.61147
        7.582              2.66316
        7.606              2.62675
        7.630              2.54308
        7.654              2.68203
        7.678              2.57381
        7.702              2.64800
        7.725              2.88299
        7.748              2.60454
        7.773              2.48770
        7.797              2.64544
        7.821              2.70547
        7.844              2.65797
        7.867              2.70909
        7.891              2.70862
        7.914              2.75048
        7.937              2.73586
        7.960              2.67860
        7.983              2.71400
        8.006              2.76087
        8.029              2.75216
        8.052              2.69041
        8.075              2.71870
        8.098              2.79812
        8.120              2.77244
        8.143              2.77698
        8.166              2.71576
        8.189              2.84397
        8.210              2.91158
        8.233              2.68134
        8.256              2.86211
        8.277              2.91212
        8.299              2.84050
        8.321              2.98389
        8.342              2.88087
        8.364              2.82302
        8.386              2.89095
        8.408              2.84217
        8.430              2.97373
        8.451              2.86446
        8.473              2.88325
        8.495              2.85963
        8.517              2.93333
        8.538              2.92636
        8.560              2.98248
        8.581              2.90834
        8.602              2.95318
        8.623              2.97401
        8.645              2.99370
        8.666              2.90364
        8.687              3.04728
        8.708              2.84346
        8.730              3.07833
        8.750              2.94253
        8.772              2.98758
        8.793              3.01020
        8.813              3.18200
        8.834              2.92241
        8.855              3.00343
        8.876              3.01164
        8.897              3.00516
        8.918              2.98815
        8.938              3.03888
        8.959              3.05394
        8.979              3.12519
        9.000              3.08559
        9.020              3.07111
