        t / s      omega / (rad/s)
        0.134              0.23486
        0.354              0.36312
        0.511              0.44618
        0.641              0.52334
        0.753              0.60523
        0.853              0.65597
        0.945              0.70860
        1.032              0.74399
        1.112              0.81975
        1.186              0.88527
        1.259              0.85017
        1.329              0.94670
        1.394              0.99695
        1.456              1.00608
        1.516              1.08809
        1.574              1.08223
        1.632              1.09047
        1.688              1.14602
        1.743              1.15678
        1.795              1.23680
        1.847              1.21885
        1.898              1.25019
        1.948              1.26616
        1.996              1.32356
        2.043              1.34322
        2.089              1.39264
        2.134              1.38010
        2.179              1.42302
        2.223              1.45431
        2.266              1.48262
        2.308              1.45958
        2.350              1.55060
        2.392              1.46718
        2.433              1.60708
        2.473              1.55524
        2.513              1.59699
        2.551              1.62802
        2.589              1.73746
        2.626              1.61211
        2.665              1.67543
        2.702              1.69614
        2.739              1.70906
        2.776              1.71714
        2.812              1.76162
        2.847              1.78474
        2.882              1.84101
        2.916              1.83429
        2.950              1.83783
        2.985              1.80158
        3.019              1.85104
        3.053              1.87273
        3.086              1.89350
        3.119              1.91947
        3.152              1.94015
        3.184              1.97082
        3.216              1.99504
        3.247              1.98766
        3.279              1.96614
        3.311              1.99656
        3.342              2.06270
        3.372              2.05085
        3.403              2.05205
        3.433              2.10386
        3.463              2.12600
        3.492              2.10767
        3.522              2.12220
        3.552              2.15178
        3.581              2.16363
        3.610              2.12413
        3.639              2.24729
        3.667              2.23014
        3.696              2.11676
        3.724              2.39086
        3.751              2.28662
        3.778              2.23872
        3.806              2.28305
        3.833              2.36931
        3.860              2.32426
        3.888              2.22115
        3.915              2.44920
        3.941              2.34763
        3.967              2.39469
        3.993              2.44796
        4.019              2.42015
        4.045              2.35264
        4.071              2.48750
        4.097              2.39359
        4.123              2.46845
        4.147              2.69433
        4.172              2.44121
        4.198              2.33645
        4.224              2.49264
        4.249              2.55445
        4.274              2.51700
        4.299              2.56939
        4.323              2.57592
        4.347              2.61723
        4.371              2.61494
        4.396              2.56677
        4.420              2.60324
        4.444              2.65831
        4.467              2.65080
        4.491              2.61244
        4.515              2.62521
        4.539              2.72035
        4.562              2.69433
        4.585              2.70245
        4.609              2.65472
        4.632              2.77624
        4.654              2.85677
        4.677              2.63645
        4.700              2.81316
        4.722              2.86903
        4.744              2.80725
        4.766              2.94639
        4.788              2.85431
        4.810              2.80187
        4.832              2.87350
        4.854              2.83090
        4.876              2.96867
        4.898              2.86668
        4.919              2.88802
        4.941              2.87323
        4.963              2.95013
        4.984              2.95096
        5.005              3.01178
        5.026              2.94184
        5.047              2.99370
        5.068              3.01627
        5.089              3.04580
        5.110              2.95693
        5.131              3.10649
        5.152              2.90740
        5.172              3.14915
        5.193              3.01381
        5.214              3.06362
        5.234              3.09608
        5.254              3.27471
        5.274              3.00976
        5.294              3.10143
        5.315              3.10987
        5.335              3.10833
        5.355              3.09258
        5.375              3.15579
        5.395              3.17365
        5.415              3.24511
        5.434              3.21917
        5.454              3.20064
        5.473              3.11620
        5.493              3.18426
        5.513              3.19885
        5.533              3.21571
        5.552              3.23842
        5.572              3.25267
        5.591              3.28567
        5.610              3.30381
        5.629              3.28001
        5.648              3.21852
        5.668              3.25436
        5.687              3.34764
        5.706              3.30364
        5.725              3.29774
        5.744              3.35640
        5.762              3.37588
        5.781              3.33556
        5.800              3.33485
        5.818              3.37606
        5.837              3.37008
        5.856              3.30086
        5.874              3.47848
        5.893              3.42912
        5.912              3.24847
        5.930              3.65004
        5.947              3.47368
        5.966              3.39283
        5.984              3.44416
        6.002              3.55625
        6.020              3.48350
        6.038              3.31165
        6.057              3.63863
        6.074              3.48157
        6.092              3.53226
        6.110              3.60688
        6.127              3.55223
        6.145              3.44133
        6.163              3.62980
        6.181              3.48234
        6.199              3.57812
        6.215              3.89582
        6.232              3.51428
        6.251              3.36215
        6.269              3.57101
        6.286              3.64581
        6.304              3.58998
        6.321              3.65089
        6.338              3.64560
        6.355              3.70952
        6.372              3.68191
        6.389              3.60357
        6.407              3.65663
        6.424              3.71083
        6.441              3.70187
        6.458              3.63400
        6.475              3.64179
        6.492              3.76261
        6.509              3.73044
        6.526              3.71896
        6.543              3.65047
        6.560              3.81748
        6.576              3.90697
        6.593              3.59450
        6.610              3.83659
        6.626              3.89921
        6.642              3.79786
        6.658              3.97192
        6.674              3.87397
        6.691              3.79488
        6.707              3.86372
        6.724              3.80984
        6.740              3.98958
        6.756              3.83565
        6.772              3.85992
        6.789              3.83144
        6.805              3.93117
        6.821              3.91720
        6.837              3.99872
        6.853              3.89534
        6.869              3.95293
        6.884              3.98224
        6.900              4.01251
        6.916              3.88955
        6.932              4.08079
        6.948              3.81423
        6.964              4.12418
        6.979              3.94326
        6.995              4.00586
        7.011              4.03778
        7.026              4.26644
        7.041              3.91989
        7.057              4.03130
        7.072              4.03908
        7.088              4.02975
        7.104              4.01328
        7.119              4.07761
        7.135              4.09648
        7.150              4.19075
        7.165              4.14540
        7.180              4.12147
        7.195              4.00330
        7.211              4.09035
