        t / s      omega / (rad/s)
        0.409              0.07677
        1.076              0.12177
        1.544              0.14960
        1.928              0.18097
        2.251              0.20994
        2.538              0.22849
        2.806              0.24174
        3.051              0.27240
        3.280              0.27643
        3.499              0.29822
        3.697              0.33926
        3.888              0.31925
        4.085              0.31858
        4.273              0.35336
        4.445              0.37565
        4.611              0.38270
        4.771              0.40507
        4.923              0.41869
        5.070              0.43864
        5.211              0.44854
        5.351              0.44988
        5.488              0.46766
        5.620              0.48670
        5.748              0.49644
        5.874              0.49608
        6.000              0.50877
        6.120              0.53515
        6.237              0.53874
        6.353              0.54701
        6.468              0.54519
        6.580              0.57288
        6.688              0.59589
        6.797              0.55386
        6.906              0.59912
        7.010              0.61642
        7.112              0.60789
        7.213              0.64432
        7.312              0.62957
        7.412              0.62468
        7.511              0.64543
        7.608              0.64076
        7.704              0.67439
        7.799              0.65363
        7.894              0.65951
        7.990              0.65854
        8.084              0.68040
        8.176              0.68178
        8.267              0.70148
        8.357              0.68833
        8.447              0.70457
        8.536              0.71369
        8.624              0.72241
        8.712              0.70426
        8.799              0.74190
        8.886              0.69602
        8.973              0.75533
        9.058              0.72352
        9.144              0.73537
        9.229              0.74313
        9.311              0.78639
        9.395              0.72304
        9.480              0.74420
        9.564              0.74757
        9.649              0.74640
        9.733              0.74281
        9.817              0.75574
        9.900              0.76022
        9.981              0.77759
       10.063              0.76957
       10.145              0.76568
       10.228              0.74444
       10.311              0.75945
       10.394              0.76340
       10.476              0.76550
       10.558              0.77146
       10.639              0.77425
       10.720              0.78144
       10.800              0.78694
       10.880              0.77925
       10.962              0.76589
       11.043              0.77407
       11.123              0.79526
       11.203              0.78686
       11.283              0.78451
       11.362              0.80154
       11.440              0.80912
       11.518              0.79969
       11.596              0.80210
       11.674              0.81160
       11.752              0.81352
       11.830              0.79796
       11.906              0.84090
       11.982              0.83246
       12.059              0.78849
       12.134              0.88812
       12.207              0.84911
       12.282              0.82936
       12.357              0.84450
       12.430              0.87306
       12.503              0.85544
       12.578              0.81641
       12.651              0.89910
       12.723              0.86144
       12.795              0.87747
       12.866              0.89784
       12.936              0.88664
       13.008              0.86230
       13.079              0.91113
       13.149              0.87796
       13.220              0.90647
       13.286              0.99069
       13.353              0.89742
       13.424              0.86124
       13.495              0.91905
       13.562              0.94287
       13.629              0.92892
       13.696              0.94898
       13.762              0.95141
       13.828              0.96872
       13.893              0.96603
       13.959              0.94780
       14.024              0.96329
       14.089              0.98156
       14.153              0.98212
       14.217              0.96445
       14.282              0.97203
       14.346              1.00603
       14.409              0.99931
       14.471              1.00297
       14.534              0.98876
       14.597              1.02784
       14.657              1.05792
       14.719              0.97517
       14.781              1.04570
       14.841              1.06309
       14.901              1.03975
       14.960              1.09239
       15.018              1.05965
       15.078              1.04068
       15.137              1.06648
       15.197              1.05110
       15.255              1.10063
       15.313              1.06320
       15.372              1.06968
       15.431              1.06334
       15.489              1.09288
       15.547              1.09096
       15.604              1.11444
       15.661              1.08824
       15.718              1.10721
       15.775              1.11695
       15.831              1.12636
       15.887              1.09490
       15.943              1.14927
       16.000              1.07420
       16.056              1.16254
       16.111              1.11185
       16.168              1.12830
       16.223              1.13832
       16.277              1.20227
       16.331              1.10398
       16.387              1.13567
       16.443              1.13830
       16.498              1.13536
       16.553              1.13025
       16.609              1.14917
       16.663              1.15534
       16.717              1.18172
       16.770              1.16879
       16.824              1.16185
       16.879              1.12812
       16.934              1.15072
       16.989              1.15474
       17.043              1.15557
       17.097              1.16321
       17.151              1.16534
       17.205              1.17403
       17.258              1.18021
       17.312              1.16476
       17.366              1.14506
       17.421              1.15583
       17.475              1.18672
       17.528              1.17245
       17.582              1.16688
       17.635              1.18867
       17.688              1.19491
       17.741              1.17795
       17.794              1.17822
       17.847              1.18928
       17.900              1.18829
       17.954              1.16258
       18.006              1.22279
       18.058              1.20842
       18.111              1.14242
       18.163              1.28380
       18.214              1.22410
       18.266              1.19266
       18.318              1.21229
       18.369              1.25320
       18.419              1.22544
       18.472              1.16725
       18.523              1.28228
       18.574              1.22615
       18.624              1.24656
       18.674              1.27247
       18.724              1.25345
       18.775              1.21663
       18.825              1.28181
       18.875              1.23094
       18.926              1.26555
       18.973              1.37834
       19.021              1.24387
       19.073              1.18851
       19.124              1.26318
       19.173              1.29268
       19.222              1.27043
       19.271              1.29542
       19.320              1.29548
       19.368              1.31571
       19.416              1.31014
       19.464              1.28152
       19.513              1.30081
       19.561              1.32158
       19.609              1.31825
       19.657              1.29053
       19.705              1.30009
       19.753              1.34431
       19.800              1.33147
       19.847              1.33285
       19.895              1.31028
       19.942              1.36168
       19.987              1.40140
       20.034              1.28891
       20.081              1.37838
       20.126              1.40187
       20.172              1.36817
       20.216              1.43331
       20.261              1.38411
       20.307              1.35466
       20.353              1.38653
       20.399              1.36446
       20.444              1.42511
       20.488              1.37343
       20.534              1.37816
       20.580              1.36662
       20.625              1.40128
       20.670              1.39431
       20.715              1.42041
       20.760              1.38332
       20.805              1.40268
       20.850              1.40917
       20.894              1.41801
       20.939              1.37361
       20.984              1.43800
       21.029              1.34124
       21.074              1.44917
       21.119              1.38241
       21.164              1.39972
       21.208              1.40992
       21.252              1.48778
       21.296              1.36440
       21.341              1.40159
       21.386              1.40341
       21.431              1.39807
       21.476              1.38965
       21.521              1.41163
       21.565              1.41705
       21.609              1.44841
       21.653              1.42930
       21.697              1.42015
       21.742              1.37980
       21.787              1.40431
       21.832              1.41205
       21.876              1.41462
       21.920              1.42376
       21.965              1.42748
       22.008              1.43882
       22.052              1.44674
       22.096              1.43030
       22.140              1.40403
       22.184              1.41676
       22.228              1.45357
       22.272              1.43530
       22.316              1.42826
       22.359              1.45373
       22.402              1.46083
       22.446              1.43984
       22.489              1.43938
       22.533              1.45236
       22.576              1.45122
       22.620              1.41813
       22.663              1.49060
       22.706              1.47127
       22.749              1.39009
       22.792              1.56217
       22.833              1.48736
       22.876              1.44857
       22.919              1.47075
       22.961              1.51889
       23.003              1.48482
