        t / s      omega / (rad/s)
        0.295              0.10636
        0.777              0.16849
        1.124              0.19642
        1.410              0.24758
        1.656              0.26370
        1.883              0.29271
        2.089              0.31748
        2.276              0.35673
        2.455              0.34781
        2.628              0.37809
        2.791              0.39562
        2.947              0.40792
        3.099              0.41790
        3.246              0.43538
        3.389              0.44676
        3.527              0.46724
        3.660              0.47087
        3.793              0.47917
        3.924              0.47660
        4.053              0.49799
        4.178              0.51157
        4.299              0.52281
        4.418              0.53707
        4.534              0.54918
        4.646              0.56475
        4.756              0.57852
        4.864              0.58291
        4.972              0.58312
        5.079              0.59888
        5.181              0.62522
        5.282              0.62719
        5.381              0.63383
        5.479              0.65534
        5.574              0.66769
        5.668              0.66740
        5.761              0.67746
        5.853              0.69410
        5.943              0.70353
        6.033              0.69666
        6.120              0.74197
        6.205              0.74203
        6.291              0.70986
        6.375              0.80769
        6.454              0.77789
        6.535              0.76607
        6.616              0.78662
        6.694              0.81998
        6.772              0.80901
        6.851              0.77620
        6.928              0.85866
        7.003              0.82590
        7.078              0.84446
        7.151              0.86608
        7.224              0.85747
        7.298              0.83632
        7.371              0.88708
        7.443              0.85687
        7.516              0.88672
        7.583              0.97215
        7.651              0.88397
        7.724              0.85085
        7.795              0.91127
        7.863              0.93822
        7.930              0.92805
        7.997              0.95370
        8.063              0.95988
        8.127              0.98170
        8.191              0.98395
        8.256              0.96807
        8.320              0.98781
        8.383              1.01063
        8.445              1.01405
        8.507              0.99993
        8.570              1.01120
        8.631              1.04951
        8.691              1.04417
        8.751              1.04916
        8.811              1.03321
        8.871              1.08111
        8.928              1.11378
        8.987              1.02665
        9.046              1.10152
        9.102              1.12264
        9.159              1.09890
        9.215              1.15387
        9.270              1.11775
        9.327              1.10079
        9.383              1.13037
        9.439              1.11632
        9.494              1.17010
        9.549              1.13050
        9.604              1.13927
        9.659              1.13290
        9.714              1.16537
        9.768              1.16364
        9.821              1.18993
        9.875              1.16164
        9.928              1.18174
        9.981              1.19253
       10.034              1.20273
       10.087              1.16860
       10.139              1.22742
       10.192              1.14717
       10.245              1.24181
       10.297              1.18889
       10.349              1.20745
       10.401              1.21933
       10.451              1.28936
       10.502              1.18463
       10.554              1.22165
       10.606              1.22651
       10.657              1.22546
       10.708              1.21975
       10.759              1.24235
       10.810              1.24969
       10.859              1.27936
       10.909              1.26613
       10.958              1.26120
       11.009              1.22618
       11.060              1.25323
       11.110              1.26037
       11.159              1.26453
       11.209              1.27515
       11.258              1.28145
       11.307              1.29369
       11.355              1.30400
       11.404              1.29246
       11.453              1.26925
       11.502              1.28375
       11.550              1.31953
       11.598              1.30511
       11.646              1.29974
       11.694              1.32935
       11.741              1.33708
       11.789              1.32186
       11.836              1.32425
       11.883              1.33856
       11.930              1.33981
       11.978              1.31266
       12.024              1.38147
       12.070              1.36716
       12.117              1.29406
       12.163              1.45572
       12.207              1.38944
       12.253              1.35571
       12.299              1.37977
       12.344              1.42709
       12.388              1.39679
       12.434              1.33243
       12.479              1.46512
       12.523              1.40328
       12.568              1.42657
       12.611              1.45704
       12.655              1.43724
       12.699              1.39530
       12.743              1.47109
       12.786              1.41446
       12.830              1.45626
       12.872              1.58783
       12.913              1.43537
       12.958              1.37265
       13.002              1.46073
       13.045              1.49475
       13.087              1.46937
       13.130              1.49914
       13.172              1.49985
       13.213              1.52390
       13.254              1.51940
       13.296              1.48792
       13.338              1.50915
       13.379              1.53627
       13.420              1.53372
       13.462              1.50355
       13.503              1.51296
       13.544              1.56349
       13.585              1.54945
       13.625              1.55121
       13.666              1.52279
       13.706              1.58662
       13.745              1.63043
       13.786              1.48321
       13.826              1.61971
       13.865              1.62373
       13.904              1.59415
       13.943              1.67739
       13.981              1.61800
       14.020              1.58263
       14.059              1.62046
       14.098              1.59597
       14.137              1.66893
       14.175              1.60703
       14.214              1.61821
       14.253              1.60490
       14.292              1.64611
       14.330              1.64108
       14.368              1.67467
       14.406              1.63132
       14.444              1.65547
       14.482              1.66689
       14.520              1.67856
       14.558              1.62815
       14.595              1.70743
       14.634              1.59536
       14.671              1.72530
       14.709              1.65013
       14.746              1.67458
       14.784              1.68889
       14.820              1.78459
       14.857              1.63774
       14.895              1.68441
       14.932              1.68780
       14.969              1.68364
       15.007              1.67458
       15.044              1.70244
       15.081              1.71064
       15.117              1.74839
       15.153              1.72943
       15.190              1.72001
       15.227              1.67075
       15.264              1.70618
       15.301              1.71414
       15.337              1.71601
       15.374              1.72905
       15.410              1.73492
       15.446              1.74990
       15.482              1.76074
       15.518              1.74194
       15.554              1.70976
       15.591              1.72862
       15.626              1.77591
       15.662              1.75283
       15.698              1.74383
       15.734              1.77823
       15.769              1.78672
       15.804              1.76162
       15.840              1.76227
       15.876              1.77908
       15.911              1.77803
       15.947              1.73890
       15.982              1.82954
       16.016              1.80806
       16.052              1.70692
       16.087              1.91718
       16.121              1.82661
       16.155              1.77888
       16.190              1.80515
       16.225              1.86600
       16.259              1.82296
       16.294              1.73310
       16.329              1.90336
       16.363              1.81984
       16.397              1.84707
       16.431              1.88232
       16.464              1.85454
       16.499              1.79710
       16.533              1.89156
       16.567              1.81563
       16.601              1.86572
       16.633              2.03004
       16.666              1.83237
       16.701              1.74975
       16.736              1.85877
       16.769              1.89979
       16.802              1.86600
       16.836              1.89991
       16.869              1.89905
       16.902              1.92665
       16.934              1.91666
       16.968              1.87468
       17.001              1.89991
       17.034              1.92984
       17.066              1.92405
       17.099              1.88012
       17.133              1.89876
       17.165              1.95555
       17.197              1.93645
       17.230              1.93597
       17.263              1.89527
       17.295              1.97896
       17.326              2.03689
       17.359              1.86738
       17.391              1.99112
       17.423              2.03208
       17.454              1.97578
       17.485              2.07537
       17.516              2.00408
       17.547              1.96172
       17.579              2.00811
       17.611              1.97336
       17.642              2.06236
       17.673              1.98759
       17.704              1.99726
       17.736              1.98052
       17.767              2.03168
       17.798              2.02285
       17.829              2.06222
       17.860              2.00946
       17.891              2.03808
       17.922              2.05172
       17.952              2.06263
